Rep_ID,Qty,Amount,Sales_Date,Total_Sales,Organization_Id,customer_id,Product_id
1,10,100,12/30/2025,1000,00B6a6Fdc035Ff3,50,50
2,5,200,12/30/2025,1000,00B6a6Fdc035Ff3,51,51
3,99,1058,1/1/2025,104742,00B6a6Fdc035Ff3,13,13
4,1,500,12/31/2025,500,00B6a6Fdc035Ff3,13,13
5,2,750,12/31/2025,1500,00B6a6Fdc035Ff3,55,55
226,9,1058,1/1/2025,9522,00B6a6Fdc035Ff3,12,12
654,2,1058.66,1/1/2025,2117.32,02c7Ad4B6D0a2DE,33,33
25,4,385.95,1/1/2025,1543.8,0052ABdaff57DaC,2,2
540,3,1584.51,1/2/2025,4753.53,02Fce43cb656920,27,27
209,7,2078.33,1/3/2025,14548.31,00B6a6Fdc035Ff3,11,11
50,3,1493.56,1/3/2025,4480.68,0052ABdaff57DaC,3,3
951,8,522.57,1/5/2025,4180.56,039649AF41D4B93,48,48
722,7,808.59,1/5/2025,5660.13,02c7Ad4B6D0a2DE,37,37
489,7,1774.17,1/6/2025,12419.19,02Fce43cb656920,25,25
747,1,975.13,1/6/2025,975.13,02c7Ad4B6D0a2DE,38,38
89,10,652.09,1/6/2025,6520.9,0052ABdaff57DaC,5,5
912,1,334.9,1/6/2025,334.9,039649AF41D4B93,46,46
724,4,708.2,1/6/2025,2832.8,02c7Ad4B6D0a2DE,37,37
92,10,959.79,1/6/2025,9597.9,0052ABdaff57DaC,5,5
307,4,1352.46,1/7/2025,5409.84,00B6a6Fdc035Ff3,16,16
763,3,2242.03,1/8/2025,6726.09,02c7Ad4B6D0a2DE,39,39
319,7,1239.63,1/8/2025,8677.41,00B6a6Fdc035Ff3,16,16
431,1,1705.96,1/8/2025,1705.96,02Fce43cb656920,22,22
972,2,801.65,1/9/2025,1603.3,039649AF41D4B93,49,49
525,7,340.29,1/9/2025,2382.03,02Fce43cb656920,27,27
391,3,1223.05,1/9/2025,3669.15,00B6a6Fdc035Ff3,20,20
485,4,975.7,1/9/2025,3902.8,02Fce43cb656920,25,25
95,10,698.75,1/9/2025,6987.5,0052ABdaff57DaC,5,5
118,3,1095.17,1/10/2025,3285.51,0052ABdaff57DaC,6,6
531,5,2174.48,1/10/2025,10872.4,02Fce43cb656920,27,27
171,7,117.88,1/10/2025,825.16,0052ABdaff57DaC,9,9
183,3,1117.45,1/10/2025,3352.35,0052ABdaff57DaC,10,10
149,10,1146.48,1/11/2025,11464.8,0052ABdaff57DaC,8,8
822,6,356.64,1/11/2025,2139.84,039649AF41D4B93,42,42
420,5,2169.88,1/11/2025,10849.4,02Fce43cb656920,21,21
942,4,1679.17,1/12/2025,6716.68,039649AF41D4B93,48,48
154,3,2240.13,1/12/2025,6720.39,0052ABdaff57DaC,8,8
355,7,1946.18,1/12/2025,13623.26,00B6a6Fdc035Ff3,18,18
269,9,408.96,1/12/2025,3680.64,00B6a6Fdc035Ff3,14,14
150,8,1803.51,1/14/2025,14428.08,0052ABdaff57DaC,8,8
527,3,1954.01,1/14/2025,5862.03,02Fce43cb656920,27,27
287,1,443.26,1/14/2025,443.26,00B6a6Fdc035Ff3,15,15
815,3,604.48,1/14/2025,1813.44,039649AF41D4B93,41,41
